input,output,modulus,operation
( 51 * 79 ) % 10,9,10,addition
( 81 + 8 ) % 10,9,10,addition
( 13 + 88 ) % 10,1,10,addition
( 89 * 90 ) % 10,0,10,addition
( 90 * 58 ) % 10,0,10,addition
( 66 * 1 ) % 10,6,10,addition
( 80 + 46 ) % 10,6,10,addition
( 30 + 63 ) % 10,3,10,addition
( 90 + 86 ) % 10,6,10,addition
( 38 * 35 ) % 10,0,10,addition
( 34 * 38 ) % 10,2,10,addition
( 16 + 72 ) % 10,8,10,addition
( 27 + 83 ) % 10,0,10,addition
( 0 * 91 ) % 10,0,10,addition
( 61 * 70 ) % 10,0,10,addition
( 82 * 90 ) % 10,0,10,addition
( 28 + 98 ) % 10,6,10,addition
( 86 + 54 ) % 10,0,10,addition
( 91 + 28 ) % 10,9,10,addition
( 58 * 76 ) % 10,8,10,addition
( 1 * 19 ) % 10,9,10,addition
( 64 * 57 ) % 10,8,10,addition
( 94 + 93 ) % 10,7,10,addition
( 72 + 95 ) % 10,7,10,addition
( 76 + 21 ) % 10,7,10,addition
( 12 * 84 ) % 10,8,10,addition
( 70 * 47 ) % 10,0,10,addition
( 72 * 43 ) % 10,6,10,addition
( 75 * 62 ) % 10,0,10,addition
( 56 * 72 ) % 10,2,10,addition
( 49 * 18 ) % 10,2,10,addition
( 52 * 86 ) % 10,2,10,addition
( 51 * 69 ) % 10,9,10,addition
( 60 * 12 ) % 10,0,10,addition
( 94 + 54 ) % 10,8,10,addition
( 9 * 88 ) % 10,2,10,addition
( 72 + 65 ) % 10,7,10,addition
( 52 + 72 ) % 10,4,10,addition
( 73 + 9 ) % 10,2,10,addition
( 13 * 3 ) % 10,9,10,addition
( 4 + 32 ) % 10,6,10,addition
( 99 + 7 ) % 10,6,10,addition
( 97 * 44 ) % 10,8,10,addition
( 40 * 32 ) % 10,0,10,addition
( 6 * 63 ) % 10,8,10,addition
( 44 * 42 ) % 10,8,10,addition
( 42 * 84 ) % 10,8,10,addition
( 42 * 65 ) % 10,0,10,addition
( 77 + 46 ) % 10,3,10,addition
( 36 + 18 ) % 10,4,10,addition
( 83 * 54 ) % 10,2,10,addition
( 71 + 53 ) % 10,4,10,addition
( 41 + 50 ) % 10,1,10,addition
( 99 * 55 ) % 10,5,10,addition
( 74 + 71 ) % 10,5,10,addition
( 38 * 80 ) % 10,0,10,addition
( 6 * 31 ) % 10,6,10,addition
( 21 + 32 ) % 10,3,10,addition
( 94 + 73 ) % 10,7,10,addition
( 48 + 31 ) % 10,9,10,addition
( 73 * 78 ) % 10,4,10,addition
( 95 * 75 ) % 10,5,10,addition
( 25 + 30 ) % 10,5,10,addition
( 88 + 35 ) % 10,3,10,addition
( 22 + 14 ) % 10,6,10,addition
( 61 * 88 ) % 10,8,10,addition
( 8 + 84 ) % 10,2,10,addition
( 39 * 9 ) % 10,1,10,addition
( 42 + 71 ) % 10,3,10,addition
( 13 + 84 ) % 10,7,10,addition
( 35 * 12 ) % 10,0,10,addition
( 7 + 3 ) % 10,0,10,addition
( 17 * 86 ) % 10,2,10,addition
( 92 * 17 ) % 10,4,10,addition
( 87 * 87 ) % 10,9,10,addition
( 42 * 85 ) % 10,0,10,addition
( 37 + 62 ) % 10,9,10,addition
( 36 + 9 ) % 10,5,10,addition
( 28 + 52 ) % 10,0,10,addition
( 39 + 5 ) % 10,4,10,addition
( 65 + 52 ) % 10,7,10,addition
( 60 * 15 ) % 10,0,10,addition
( 72 * 65 ) % 10,0,10,addition
( 92 + 61 ) % 10,3,10,addition
( 28 + 67 ) % 10,5,10,addition
( 74 + 23 ) % 10,7,10,addition
( 62 * 40 ) % 10,0,10,addition
( 2 + 18 ) % 10,0,10,addition
( 65 * 79 ) % 10,5,10,addition
( 49 * 83 ) % 10,7,10,addition
( 57 * 35 ) % 10,5,10,addition
( 39 * 75 ) % 10,5,10,addition
( 59 * 71 ) % 10,9,10,addition
( 70 * 73 ) % 10,0,10,addition
( 54 * 29 ) % 10,6,10,addition
( 64 * 3 ) % 10,2,10,addition
( 81 * 49 ) % 10,9,10,addition
( 6 + 12 ) % 10,8,10,addition
( 7 * 21 ) % 10,7,10,addition
( 90 * 60 ) % 10,0,10,addition
( 59 * 79 ) % 10,1,10,addition
( 24 * 95 ) % 10,0,10,addition
( 73 * 21 ) % 10,3,10,addition
( 67 + 81 ) % 10,8,10,addition
( 7 + 2 ) % 10,9,10,addition
( 62 + 79 ) % 10,1,10,addition
( 47 * 63 ) % 10,1,10,addition
( 20 + 54 ) % 10,4,10,addition
( 34 * 63 ) % 10,2,10,addition
( 24 + 35 ) % 10,9,10,addition
( 43 + 43 ) % 10,6,10,addition
( 21 * 18 ) % 10,8,10,addition
( 4 + 89 ) % 10,3,10,addition
( 62 * 23 ) % 10,6,10,addition
( 71 + 49 ) % 10,0,10,addition
( 87 * 23 ) % 10,1,10,addition
( 54 + 69 ) % 10,3,10,addition
( 54 * 72 ) % 10,8,10,addition
( 35 * 54 ) % 10,0,10,addition
( 15 + 34 ) % 10,9,10,addition
( 48 * 85 ) % 10,0,10,addition
( 57 * 57 ) % 10,9,10,addition
( 71 * 52 ) % 10,2,10,addition
( 54 + 67 ) % 10,1,10,addition
( 50 + 16 ) % 10,6,10,addition
( 48 * 83 ) % 10,4,10,addition
( 92 * 59 ) % 10,8,10,addition
( 62 + 74 ) % 10,6,10,addition
( 28 + 30 ) % 10,8,10,addition
( 44 + 44 ) % 10,8,10,addition
( 6 * 45 ) % 10,0,10,addition
( 51 * 20 ) % 10,0,10,addition
( 95 + 11 ) % 10,6,10,addition
( 37 + 72 ) % 10,9,10,addition
( 78 + 68 ) % 10,6,10,addition
( 22 * 42 ) % 10,4,10,addition
( 63 * 38 ) % 10,4,10,addition
( 36 + 76 ) % 10,2,10,addition
( 41 + 29 ) % 10,0,10,addition
( 46 * 98 ) % 10,8,10,addition
( 2 + 47 ) % 10,9,10,addition
( 26 * 43 ) % 10,8,10,addition
( 10 * 26 ) % 10,0,10,addition
( 12 * 48 ) % 10,6,10,addition
( 81 + 0 ) % 10,1,10,addition
( 41 + 61 ) % 10,2,10,addition
( 94 + 28 ) % 10,2,10,addition
( 98 + 16 ) % 10,4,10,addition
( 96 * 78 ) % 10,8,10,addition
( 46 + 37 ) % 10,3,10,addition
( 6 + 37 ) % 10,3,10,addition
( 34 * 93 ) % 10,2,10,addition
( 90 * 49 ) % 10,0,10,addition
( 20 + 17 ) % 10,7,10,addition
( 43 + 2 ) % 10,5,10,addition
( 64 * 85 ) % 10,0,10,addition
( 11 + 9 ) % 10,0,10,addition
( 98 * 5 ) % 10,0,10,addition
( 40 + 96 ) % 10,6,10,addition
( 72 + 20 ) % 10,2,10,addition
( 83 + 10 ) % 10,3,10,addition
( 93 + 73 ) % 10,6,10,addition
( 87 + 45 ) % 10,2,10,addition
( 39 * 58 ) % 10,2,10,addition
( 79 * 8 ) % 10,2,10,addition
( 74 + 92 ) % 10,6,10,addition
( 77 + 14 ) % 10,1,10,addition
( 52 + 76 ) % 10,8,10,addition
( 62 * 94 ) % 10,8,10,addition
( 71 + 78 ) % 10,9,10,addition
( 22 + 46 ) % 10,8,10,addition
( 13 + 51 ) % 10,4,10,addition
( 90 * 55 ) % 10,0,10,addition
( 74 + 60 ) % 10,4,10,addition
( 66 * 16 ) % 10,6,10,addition
( 84 * 79 ) % 10,6,10,addition
( 57 + 49 ) % 10,6,10,addition
( 5 + 74 ) % 10,9,10,addition
( 96 * 69 ) % 10,4,10,addition
( 15 + 36 ) % 10,1,10,addition
( 92 + 75 ) % 10,7,10,addition
( 44 + 23 ) % 10,7,10,addition
( 11 + 47 ) % 10,8,10,addition
( 45 + 71 ) % 10,6,10,addition
( 5 * 86 ) % 10,0,10,addition
( 60 + 86 ) % 10,6,10,addition
( 63 * 70 ) % 10,0,10,addition
( 28 + 71 ) % 10,9,10,addition
( 79 + 92 ) % 10,1,10,addition
( 85 + 19 ) % 10,4,10,addition
( 89 * 74 ) % 10,6,10,addition
( 45 * 0 ) % 10,0,10,addition
( 33 * 19 ) % 10,7,10,addition
( 1 * 68 ) % 10,8,10,addition
( 97 * 41 ) % 10,7,10,addition
( 86 * 32 ) % 10,2,10,addition
( 82 * 66 ) % 10,2,10,addition
( 95 * 35 ) % 10,5,10,addition
( 95 * 49 ) % 10,5,10,addition
( 86 + 85 ) % 10,1,10,addition
( 58 + 50 ) % 10,8,10,addition
( 86 + 21 ) % 10,7,10,addition
( 67 * 44 ) % 10,8,10,addition
( 32 + 49 ) % 10,1,10,addition
( 8 + 25 ) % 10,3,10,addition
( 56 * 86 ) % 10,6,10,addition
( 20 * 19 ) % 10,0,10,addition
( 91 * 97 ) % 10,7,10,addition
( 93 * 85 ) % 10,5,10,addition
( 78 * 73 ) % 10,4,10,addition
( 53 * 21 ) % 10,3,10,addition
( 50 * 23 ) % 10,0,10,addition
( 62 * 9 ) % 10,8,10,addition
( 6 * 15 ) % 10,0,10,addition
( 1 + 52 ) % 10,3,10,addition
( 89 * 2 ) % 10,8,10,addition
( 6 + 9 ) % 10,5,10,addition
( 81 + 93 ) % 10,4,10,addition
( 51 * 27 ) % 10,7,10,addition
( 69 * 67 ) % 10,3,10,addition
( 23 + 74 ) % 10,7,10,addition
( 3 + 15 ) % 10,8,10,addition
( 36 + 24 ) % 10,0,10,addition
( 16 + 63 ) % 10,9,10,addition
( 9 * 95 ) % 10,5,10,addition
( 26 * 60 ) % 10,0,10,addition
( 29 * 64 ) % 10,6,10,addition
( 40 * 47 ) % 10,0,10,addition
( 38 * 55 ) % 10,0,10,addition
( 95 + 94 ) % 10,9,10,addition
( 41 + 81 ) % 10,2,10,addition
( 19 + 50 ) % 10,9,10,addition
( 4 * 65 ) % 10,0,10,addition
( 72 + 83 ) % 10,5,10,addition
( 60 * 64 ) % 10,0,10,addition
( 83 + 21 ) % 10,4,10,addition
( 89 + 16 ) % 10,5,10,addition
( 49 + 72 ) % 10,1,10,addition
( 28 * 18 ) % 10,4,10,addition
( 61 * 72 ) % 10,2,10,addition
( 91 * 82 ) % 10,2,10,addition
( 54 * 50 ) % 10,0,10,addition
( 87 * 20 ) % 10,0,10,addition
( 92 * 46 ) % 10,2,10,addition
( 6 + 59 ) % 10,5,10,addition
( 83 * 97 ) % 10,1,10,addition
( 80 * 94 ) % 10,0,10,addition
( 92 + 78 ) % 10,0,10,addition
( 84 + 93 ) % 10,7,10,addition
( 99 * 10 ) % 10,0,10,addition
( 44 + 76 ) % 10,0,10,addition
( 36 + 48 ) % 10,4,10,addition
( 34 * 15 ) % 10,0,10,addition
( 28 + 17 ) % 10,5,10,addition
( 66 + 43 ) % 10,9,10,addition
( 69 + 4 ) % 10,3,10,addition
( 9 * 72 ) % 10,8,10,addition
( 91 * 24 ) % 10,4,10,addition
( 67 * 32 ) % 10,4,10,addition
( 88 * 66 ) % 10,8,10,addition
( 15 * 24 ) % 10,0,10,addition
( 88 * 36 ) % 10,8,10,addition
( 96 * 57 ) % 10,2,10,addition
( 67 * 50 ) % 10,0,10,addition
( 85 * 20 ) % 10,0,10,addition
( 22 + 23 ) % 10,5,10,addition
( 72 + 99 ) % 10,1,10,addition
( 21 * 3 ) % 10,3,10,addition
( 29 * 70 ) % 10,0,10,addition
( 15 + 81 ) % 10,6,10,addition
( 6 * 97 ) % 10,2,10,addition
( 30 + 8 ) % 10,8,10,addition
( 58 * 37 ) % 10,6,10,addition
( 3 * 51 ) % 10,3,10,addition
( 0 * 28 ) % 10,0,10,addition
( 78 + 78 ) % 10,6,10,addition
( 80 + 39 ) % 10,9,10,addition
( 10 + 91 ) % 10,1,10,addition
( 12 + 29 ) % 10,1,10,addition
( 46 * 96 ) % 10,6,10,addition
( 64 + 83 ) % 10,7,10,addition
( 68 + 57 ) % 10,5,10,addition
( 56 + 78 ) % 10,4,10,addition
( 24 + 56 ) % 10,0,10,addition
( 65 * 58 ) % 10,0,10,addition
( 35 + 41 ) % 10,6,10,addition
( 12 * 52 ) % 10,4,10,addition
( 5 + 86 ) % 10,1,10,addition
( 71 + 46 ) % 10,7,10,addition
( 84 * 21 ) % 10,4,10,addition
( 10 + 69 ) % 10,9,10,addition
( 18 * 62 ) % 10,6,10,addition
( 53 + 25 ) % 10,8,10,addition
( 44 * 17 ) % 10,8,10,addition
( 71 + 34 ) % 10,5,10,addition
( 25 * 37 ) % 10,5,10,addition
( 39 * 29 ) % 10,1,10,addition
( 31 + 84 ) % 10,5,10,addition
( 61 * 34 ) % 10,4,10,addition
( 3 + 24 ) % 10,7,10,addition
( 51 + 26 ) % 10,7,10,addition
( 77 + 38 ) % 10,5,10,addition
( 33 + 19 ) % 10,2,10,addition
( 24 + 26 ) % 10,0,10,addition
( 45 + 35 ) % 10,0,10,addition
( 54 + 45 ) % 10,9,10,addition
( 99 * 28 ) % 10,2,10,addition
( 81 * 17 ) % 10,7,10,addition
( 61 * 45 ) % 10,5,10,addition
( 47 * 65 ) % 10,5,10,addition
( 30 * 6 ) % 10,0,10,addition
( 55 + 24 ) % 10,9,10,addition
( 39 + 56 ) % 10,5,10,addition
( 61 + 14 ) % 10,5,10,addition
( 31 * 94 ) % 10,4,10,addition
( 54 + 23 ) % 10,7,10,addition
( 68 + 17 ) % 10,5,10,addition
( 12 + 37 ) % 10,9,10,addition
( 29 + 5 ) % 10,4,10,addition
( 48 + 67 ) % 10,5,10,addition
( 85 * 46 ) % 10,0,10,addition
( 41 * 66 ) % 10,6,10,addition
( 63 * 90 ) % 10,0,10,addition
( 12 * 55 ) % 10,0,10,addition
( 71 * 96 ) % 10,6,10,addition
( 68 * 41 ) % 10,8,10,addition
( 68 * 87 ) % 10,6,10,addition
( 81 * 93 ) % 10,3,10,addition
( 59 + 55 ) % 10,4,10,addition
( 20 + 98 ) % 10,8,10,addition
( 20 + 62 ) % 10,2,10,addition
( 48 + 98 ) % 10,6,10,addition
( 38 * 32 ) % 10,6,10,addition
( 52 + 9 ) % 10,1,10,addition
( 35 * 33 ) % 10,5,10,addition
( 24 * 26 ) % 10,4,10,addition
( 24 * 47 ) % 10,8,10,addition
( 56 * 92 ) % 10,2,10,addition
( 68 * 44 ) % 10,2,10,addition
( 74 * 61 ) % 10,4,10,addition
( 93 + 64 ) % 10,7,10,addition
( 98 + 48 ) % 10,6,10,addition
( 12 + 31 ) % 10,3,10,addition
( 84 + 3 ) % 10,7,10,addition
( 84 * 76 ) % 10,4,10,addition
( 26 * 47 ) % 10,2,10,addition
( 59 + 35 ) % 10,4,10,addition
( 58 + 20 ) % 10,8,10,addition
( 40 + 94 ) % 10,4,10,addition
( 78 + 96 ) % 10,4,10,addition
( 96 * 29 ) % 10,4,10,addition
( 93 + 15 ) % 10,8,10,addition
( 69 * 50 ) % 10,0,10,addition
( 56 * 70 ) % 10,0,10,addition
( 46 + 61 ) % 10,7,10,addition
( 91 * 42 ) % 10,2,10,addition
( 57 + 59 ) % 10,6,10,addition
( 87 + 9 ) % 10,6,10,addition
( 88 * 56 ) % 10,8,10,addition
( 50 * 62 ) % 10,0,10,addition
( 1 + 95 ) % 10,6,10,addition
( 9 * 51 ) % 10,9,10,addition
( 25 + 75 ) % 10,0,10,addition
( 63 * 51 ) % 10,3,10,addition
( 39 * 77 ) % 10,3,10,addition
( 11 * 81 ) % 10,1,10,addition
( 28 * 95 ) % 10,0,10,addition
( 48 * 18 ) % 10,4,10,addition
( 11 * 51 ) % 10,1,10,addition
( 10 + 19 ) % 10,9,10,addition
( 31 * 9 ) % 10,9,10,addition
( 55 * 41 ) % 10,5,10,addition
( 32 * 62 ) % 10,4,10,addition
( 52 + 30 ) % 10,2,10,addition
( 86 * 78 ) % 10,8,10,addition
( 46 + 6 ) % 10,2,10,addition
( 48 + 38 ) % 10,6,10,addition
( 1 * 64 ) % 10,4,10,addition
( 70 * 62 ) % 10,0,10,addition
( 56 * 28 ) % 10,8,10,addition
( 49 * 23 ) % 10,7,10,addition
( 30 * 22 ) % 10,0,10,addition
( 25 + 5 ) % 10,0,10,addition
( 56 * 23 ) % 10,8,10,addition
( 25 * 26 ) % 10,0,10,addition
( 74 * 24 ) % 10,6,10,addition
( 5 + 93 ) % 10,8,10,addition
( 31 * 26 ) % 10,6,10,addition
( 40 + 81 ) % 10,1,10,addition
( 12 + 98 ) % 10,0,10,addition
( 85 + 25 ) % 10,0,10,addition
( 84 + 15 ) % 10,9,10,addition
( 66 + 12 ) % 10,8,10,addition
( 16 + 55 ) % 10,1,10,addition
( 29 * 1 ) % 10,9,10,addition
( 93 + 83 ) % 10,6,10,addition
( 53 + 17 ) % 10,0,10,addition
( 48 * 5 ) % 10,0,10,addition
( 26 + 37 ) % 10,3,10,addition
( 46 * 97 ) % 10,2,10,addition
( 34 + 48 ) % 10,2,10,addition
( 68 + 4 ) % 10,2,10,addition
( 76 + 6 ) % 10,2,10,addition
( 29 * 24 ) % 10,6,10,addition
( 97 + 74 ) % 10,1,10,addition
( 49 * 61 ) % 10,9,10,addition
( 8 + 39 ) % 10,7,10,addition
( 53 + 8 ) % 10,1,10,addition
( 41 + 89 ) % 10,0,10,addition
( 85 + 18 ) % 10,3,10,addition
( 11 * 90 ) % 10,0,10,addition
( 36 + 44 ) % 10,0,10,addition
( 93 * 29 ) % 10,7,10,addition
( 93 + 93 ) % 10,6,10,addition
( 14 + 83 ) % 10,7,10,addition
( 92 * 90 ) % 10,0,10,addition
( 14 * 16 ) % 10,4,10,addition
( 71 + 73 ) % 10,4,10,addition
( 90 + 5 ) % 10,5,10,addition
( 50 + 11 ) % 10,1,10,addition
( 3 + 83 ) % 10,6,10,addition
( 67 + 23 ) % 10,0,10,addition
( 51 * 85 ) % 10,5,10,addition
( 49 * 90 ) % 10,0,10,addition
( 75 * 8 ) % 10,0,10,addition
( 77 * 20 ) % 10,0,10,addition
( 83 + 17 ) % 10,0,10,addition
( 38 * 11 ) % 10,8,10,addition
( 54 * 14 ) % 10,6,10,addition
( 71 + 14 ) % 10,5,10,addition
( 11 + 82 ) % 10,3,10,addition
( 70 + 18 ) % 10,8,10,addition
( 5 + 0 ) % 10,5,10,addition
( 23 + 93 ) % 10,6,10,addition
( 18 + 72 ) % 10,0,10,addition
( 48 + 10 ) % 10,8,10,addition
( 27 * 63 ) % 10,1,10,addition
( 60 * 57 ) % 10,0,10,addition
( 65 * 19 ) % 10,5,10,addition
( 53 + 91 ) % 10,4,10,addition
( 50 * 14 ) % 10,0,10,addition
( 92 * 5 ) % 10,0,10,addition
( 45 + 89 ) % 10,4,10,addition
( 14 + 58 ) % 10,2,10,addition
( 23 + 60 ) % 10,3,10,addition
( 54 + 68 ) % 10,2,10,addition
( 5 * 27 ) % 10,5,10,addition
( 44 * 56 ) % 10,4,10,addition
( 24 * 85 ) % 10,0,10,addition
( 25 * 65 ) % 10,5,10,addition
( 12 + 71 ) % 10,3,10,addition
( 90 + 89 ) % 10,9,10,addition
( 30 * 42 ) % 10,0,10,addition
( 43 + 6 ) % 10,9,10,addition
( 73 + 76 ) % 10,9,10,addition
( 95 * 86 ) % 10,0,10,addition
( 51 + 53 ) % 10,4,10,addition
( 21 + 49 ) % 10,0,10,addition
( 76 * 48 ) % 10,8,10,addition
( 61 * 5 ) % 10,5,10,addition
( 8 * 43 ) % 10,4,10,addition
( 42 + 96 ) % 10,8,10,addition
( 5 * 31 ) % 10,5,10,addition
( 38 + 97 ) % 10,5,10,addition
( 33 + 2 ) % 10,5,10,addition
( 88 * 7 ) % 10,6,10,addition
( 99 * 80 ) % 10,0,10,addition
( 56 + 84 ) % 10,0,10,addition
( 11 * 34 ) % 10,4,10,addition
( 56 + 12 ) % 10,8,10,addition
( 67 * 20 ) % 10,0,10,addition
( 21 + 3 ) % 10,4,10,addition
( 24 * 37 ) % 10,8,10,addition
( 55 + 0 ) % 10,5,10,addition
( 20 + 11 ) % 10,1,10,addition
( 95 * 91 ) % 10,5,10,addition
( 23 * 22 ) % 10,6,10,addition
( 73 + 49 ) % 10,2,10,addition
( 57 * 22 ) % 10,4,10,addition
( 29 + 30 ) % 10,9,10,addition
( 39 + 58 ) % 10,7,10,addition
( 83 + 34 ) % 10,7,10,addition
( 85 * 45 ) % 10,5,10,addition
( 96 * 22 ) % 10,2,10,addition
( 67 * 61 ) % 10,7,10,addition
( 13 * 99 ) % 10,7,10,addition
( 20 + 66 ) % 10,6,10,addition
( 30 + 21 ) % 10,1,10,addition
( 56 + 61 ) % 10,7,10,addition
( 88 * 33 ) % 10,4,10,addition
( 2 * 69 ) % 10,8,10,addition
( 60 * 24 ) % 10,0,10,addition
( 32 + 51 ) % 10,3,10,addition
( 85 * 17 ) % 10,5,10,addition
( 27 + 77 ) % 10,4,10,addition
( 39 * 91 ) % 10,9,10,addition
( 97 + 17 ) % 10,4,10,addition
( 34 * 37 ) % 10,8,10,addition
( 31 * 36 ) % 10,6,10,addition
( 50 * 43 ) % 10,0,10,addition
( 30 * 53 ) % 10,0,10,addition
( 16 + 68 ) % 10,4,10,addition
( 86 * 59 ) % 10,4,10,addition
( 12 * 82 ) % 10,4,10,addition
( 66 + 3 ) % 10,9,10,addition
( 38 + 91 ) % 10,9,10,addition
( 79 * 29 ) % 10,1,10,addition
( 81 * 48 ) % 10,8,10,addition
( 84 * 11 ) % 10,4,10,addition
( 75 * 75 ) % 10,5,10,addition
( 48 + 0 ) % 10,8,10,addition
( 66 + 79 ) % 10,5,10,addition
( 11 * 32 ) % 10,2,10,addition
( 97 * 17 ) % 10,9,10,addition
( 11 + 12 ) % 10,3,10,addition
( 9 + 6 ) % 10,5,10,addition
( 51 * 30 ) % 10,0,10,addition
( 3 * 16 ) % 10,8,10,addition
( 34 + 50 ) % 10,4,10,addition
( 95 * 12 ) % 10,0,10,addition
( 78 + 99 ) % 10,7,10,addition
( 18 + 14 ) % 10,2,10,addition
( 12 * 51 ) % 10,2,10,addition
( 38 + 76 ) % 10,4,10,addition
( 75 + 66 ) % 10,1,10,addition
( 81 * 28 ) % 10,8,10,addition
( 13 + 94 ) % 10,7,10,addition
( 85 + 44 ) % 10,9,10,addition
( 4 * 23 ) % 10,2,10,addition
( 3 + 14 ) % 10,7,10,addition
( 82 + 41 ) % 10,3,10,addition
( 49 * 79 ) % 10,1,10,addition
( 1 + 71 ) % 10,2,10,addition
( 88 + 55 ) % 10,3,10,addition
( 49 + 91 ) % 10,0,10,addition
( 97 + 39 ) % 10,6,10,addition
( 34 * 73 ) % 10,2,10,addition
( 7 * 4 ) % 10,8,10,addition
( 25 + 0 ) % 10,5,10,addition
( 55 + 60 ) % 10,5,10,addition
( 7 * 17 ) % 10,9,10,addition
( 46 + 59 ) % 10,5,10,addition
( 32 * 94 ) % 10,8,10,addition
( 77 + 83 ) % 10,0,10,addition
( 0 + 66 ) % 10,6,10,addition
( 12 + 78 ) % 10,0,10,addition
( 59 * 53 ) % 10,7,10,addition
( 68 + 54 ) % 10,2,10,addition
( 41 * 0 ) % 10,0,10,addition
( 88 * 44 ) % 10,2,10,addition
( 26 * 89 ) % 10,4,10,addition
( 22 + 21 ) % 10,3,10,addition
( 54 * 34 ) % 10,6,10,addition
( 74 * 13 ) % 10,2,10,addition
( 86 * 96 ) % 10,6,10,addition
( 80 * 49 ) % 10,0,10,addition
( 99 + 72 ) % 10,1,10,addition
( 34 + 82 ) % 10,6,10,addition
( 71 * 19 ) % 10,9,10,addition
( 90 * 81 ) % 10,0,10,addition
( 72 * 80 ) % 10,0,10,addition
( 34 * 92 ) % 10,8,10,addition
( 46 + 49 ) % 10,5,10,addition
( 40 * 90 ) % 10,0,10,addition
( 91 + 2 ) % 10,3,10,addition
( 90 + 37 ) % 10,7,10,addition
( 84 + 32 ) % 10,6,10,addition
( 26 + 8 ) % 10,4,10,addition
( 47 + 66 ) % 10,3,10,addition
( 24 * 60 ) % 10,0,10,addition
( 43 * 55 ) % 10,5,10,addition
( 24 * 0 ) % 10,0,10,addition
( 86 + 74 ) % 10,0,10,addition
( 34 * 9 ) % 10,6,10,addition
( 44 + 46 ) % 10,0,10,addition
( 62 + 22 ) % 10,4,10,addition
( 11 * 94 ) % 10,4,10,addition
( 14 * 74 ) % 10,6,10,addition
( 87 + 14 ) % 10,1,10,addition
( 55 * 54 ) % 10,0,10,addition
