input,output,modulus,operation
(48 * 43 * 46) % 10,4,10,multiplication
(5 * 72 + 83) % 10,3,10,addAndMulti
(9 + 80 + 76) % 10,5,10,addition
(50 + 66 * 31) % 10,6,10,addAndMulti
(97 + 74 + 69) % 10,0,10,addition
(29 * 58 * 99) % 10,8,10,multiplication
(13 + 85 * 94) % 10,3,10,addAndMulti
(48 * 37 + 66) % 10,2,10,addAndMulti
(65 + 77 * 0) % 10,5,10,addAndMulti
(39 + 77 * 71) % 10,6,10,addAndMulti
(79 + 80 + 95) % 10,4,10,addition
(4 * 95 + 88) % 10,8,10,addAndMulti
(88 * 36 + 19) % 10,7,10,addAndMulti
(27 + 29 + 86) % 10,2,10,addition
(49 + 29 * 4) % 10,5,10,addAndMulti
(33 * 60 + 35) % 10,5,10,addAndMulti
(40 * 18 + 75) % 10,5,10,addAndMulti
(32 * 79 * 29) % 10,2,10,multiplication
(47 + 87 + 67) % 10,1,10,addition
(57 + 51 * 97) % 10,4,10,addAndMulti
(22 * 60 + 15) % 10,5,10,addAndMulti
(32 + 3 + 16) % 10,1,10,addition
(73 + 65 + 68) % 10,6,10,addition
(4 + 19 + 28) % 10,1,10,addition
(71 * 17 * 99) % 10,3,10,multiplication
(51 * 53 + 15) % 10,8,10,addAndMulti
(3 * 85 + 84) % 10,9,10,addAndMulti
(40 * 84 + 14) % 10,4,10,addAndMulti
(21 + 85 + 68) % 10,4,10,addition
(62 + 71 * 87) % 10,9,10,addAndMulti
(40 + 9 + 8) % 10,7,10,addition
(51 * 40 + 40) % 10,0,10,addAndMulti
(95 * 86 * 17) % 10,0,10,multiplication
(79 * 97 + 8) % 10,1,10,addAndMulti
(43 + 76 + 82) % 10,1,10,addition
(59 + 92 + 5) % 10,6,10,addition
(83 * 81 + 52) % 10,5,10,addAndMulti
(80 + 24 * 40) % 10,0,10,addAndMulti
(20 + 91 * 28) % 10,8,10,addAndMulti
(67 * 43 * 71) % 10,1,10,multiplication
(57 + 47 * 72) % 10,1,10,addAndMulti
(53 * 21 + 59) % 10,2,10,addAndMulti
(36 * 44 + 7) % 10,1,10,addAndMulti
(73 * 55 + 7) % 10,2,10,addAndMulti
(1 * 30 * 0) % 10,0,10,multiplication
(97 + 49 * 70) % 10,7,10,addAndMulti
(62 * 42 + 82) % 10,6,10,addAndMulti
(50 + 73 * 62) % 10,6,10,addAndMulti
(78 + 8 * 67) % 10,4,10,addAndMulti
(85 + 77 + 19) % 10,1,10,addition
(64 + 25 * 8) % 10,4,10,addAndMulti
(15 + 1 + 64) % 10,0,10,addition
(37 + 41 + 80) % 10,8,10,addition
(69 * 0 + 20) % 10,0,10,addAndMulti
(83 * 23 * 75) % 10,5,10,multiplication
(93 * 67 * 23) % 10,3,10,multiplication
(69 + 1 + 81) % 10,1,10,addition
(38 * 82 + 37) % 10,3,10,addAndMulti
(6 * 63 * 27) % 10,6,10,multiplication
(78 * 91 + 96) % 10,4,10,addAndMulti
(4 * 40 * 44) % 10,0,10,multiplication
(92 + 61 + 93) % 10,6,10,addition
(30 + 37 * 83) % 10,1,10,addAndMulti
(22 + 87 + 37) % 10,6,10,addition
(30 + 71 + 46) % 10,7,10,addition
(57 * 93 + 46) % 10,7,10,addAndMulti
(0 * 45 + 47) % 10,7,10,addAndMulti
(35 + 42 * 36) % 10,7,10,addAndMulti
(9 + 96 * 98) % 10,7,10,addAndMulti
(13 * 93 * 84) % 10,6,10,multiplication
(74 * 97 * 69) % 10,2,10,multiplication
(7 * 69 + 47) % 10,0,10,addAndMulti
(52 * 67 + 56) % 10,0,10,addAndMulti
(51 * 14 * 43) % 10,2,10,multiplication
(17 * 59 * 14) % 10,2,10,multiplication
(41 + 20 + 10) % 10,1,10,addition
(91 * 52 * 43) % 10,6,10,multiplication
(96 + 63 * 78) % 10,0,10,addAndMulti
(53 + 76 * 30) % 10,3,10,addAndMulti
(17 + 89 * 86) % 10,1,10,addAndMulti
(16 * 43 * 23) % 10,4,10,multiplication
(21 * 17 * 36) % 10,2,10,multiplication
(38 * 91 + 76) % 10,4,10,addAndMulti
(41 * 50 * 91) % 10,0,10,multiplication
(71 + 1 + 98) % 10,0,10,addition
(5 * 36 * 21) % 10,0,10,multiplication
(5 * 1 * 25) % 10,5,10,multiplication
(20 + 31 * 56) % 10,6,10,addAndMulti
(40 + 90 * 96) % 10,0,10,addAndMulti
(50 * 69 * 20) % 10,0,10,multiplication
(93 * 19 * 83) % 10,1,10,multiplication
(60 + 91 * 26) % 10,6,10,addAndMulti
(57 + 83 * 11) % 10,0,10,addAndMulti
(70 + 15 * 67) % 10,5,10,addAndMulti
(71 * 68 * 98) % 10,4,10,multiplication
(51 * 35 + 65) % 10,0,10,addAndMulti
(54 * 65 * 92) % 10,0,10,multiplication
(72 + 14 + 7) % 10,3,10,addition
(11 + 11 + 12) % 10,4,10,addition
(58 * 91 + 48) % 10,6,10,addAndMulti
(64 + 60 * 84) % 10,4,10,addAndMulti
(53 * 82 * 2) % 10,2,10,multiplication
(28 + 18 + 72) % 10,8,10,addition
(1 * 37 + 28) % 10,5,10,addAndMulti
(79 + 23 + 17) % 10,9,10,addition
(74 + 44 + 30) % 10,8,10,addition
(85 * 71 * 73) % 10,5,10,multiplication
(75 * 27 + 77) % 10,2,10,addAndMulti
(26 + 29 * 82) % 10,4,10,addAndMulti
(8 * 0 * 23) % 10,0,10,multiplication
(99 + 65 + 40) % 10,4,10,addition
(57 * 15 * 70) % 10,0,10,multiplication
(60 * 98 * 45) % 10,0,10,multiplication
(30 * 64 + 15) % 10,5,10,addAndMulti
(75 * 64 + 75) % 10,5,10,addAndMulti
(41 * 4 * 75) % 10,0,10,multiplication
(46 * 50 * 53) % 10,0,10,multiplication
(45 + 92 * 39) % 10,3,10,addAndMulti
(62 * 27 + 32) % 10,6,10,addAndMulti
(81 + 27 + 99) % 10,7,10,addition
(3 + 76 + 3) % 10,2,10,addition
(39 * 78 * 69) % 10,8,10,multiplication
(47 + 55 + 90) % 10,2,10,addition
(85 + 40 + 0) % 10,5,10,addition
(7 + 74 * 81) % 10,1,10,addAndMulti
(40 * 64 + 59) % 10,9,10,addAndMulti
(35 * 17 + 55) % 10,0,10,addAndMulti
(93 * 15 + 49) % 10,4,10,addAndMulti
(43 * 9 * 93) % 10,1,10,multiplication
(19 * 85 + 77) % 10,2,10,addAndMulti
(58 + 96 * 28) % 10,6,10,addAndMulti
(57 * 82 + 78) % 10,2,10,addAndMulti
(72 * 6 * 35) % 10,0,10,multiplication
(77 + 17 * 21) % 10,4,10,addAndMulti
(51 + 79 + 45) % 10,5,10,addition
(60 + 75 * 16) % 10,0,10,addAndMulti
(25 * 76 * 36) % 10,0,10,multiplication
(16 + 79 + 24) % 10,9,10,addition
(89 + 10 + 64) % 10,3,10,addition
(12 + 84 * 34) % 10,8,10,addAndMulti
(61 * 30 + 57) % 10,7,10,addAndMulti
(9 * 94 + 61) % 10,7,10,addAndMulti
(85 + 19 * 78) % 10,7,10,addAndMulti
(44 + 3 + 71) % 10,8,10,addition
(89 + 47 + 14) % 10,0,10,addition
(42 + 95 * 87) % 10,7,10,addAndMulti
(51 + 76 + 87) % 10,4,10,addition
(99 + 8 * 64) % 10,1,10,addAndMulti
(36 + 30 * 21) % 10,6,10,addAndMulti
(5 * 27 * 67) % 10,5,10,multiplication
(17 * 17 * 97) % 10,3,10,multiplication
(93 + 63 * 73) % 10,2,10,addAndMulti
(11 + 48 + 89) % 10,8,10,addition
(88 + 56 * 83) % 10,6,10,addAndMulti
(38 * 81 + 61) % 10,9,10,addAndMulti
(88 + 79 * 22) % 10,6,10,addAndMulti
(82 + 92 * 10) % 10,2,10,addAndMulti
(87 * 37 + 56) % 10,5,10,addAndMulti
(3 + 28 * 12) % 10,9,10,addAndMulti
(6 * 20 + 31) % 10,1,10,addAndMulti
(6 * 73 * 0) % 10,0,10,multiplication
(26 + 0 * 9) % 10,6,10,addAndMulti
(73 + 64 * 27) % 10,1,10,addAndMulti
(81 + 22 * 45) % 10,1,10,addAndMulti
(21 + 45 + 17) % 10,3,10,addition
(0 * 7 + 63) % 10,3,10,addAndMulti
(18 * 2 * 1) % 10,6,10,multiplication
(32 + 56 + 13) % 10,1,10,addition
(32 * 13 * 87) % 10,2,10,multiplication
(10 + 11 * 12) % 10,2,10,addAndMulti
(49 + 96 + 30) % 10,5,10,addition
(13 * 29 + 34) % 10,1,10,addAndMulti
(9 + 46 + 83) % 10,8,10,addition
(62 * 45 * 39) % 10,0,10,multiplication
(5 + 42 + 57) % 10,4,10,addition
(97 * 41 + 68) % 10,5,10,addAndMulti
(3 * 20 + 37) % 10,7,10,addAndMulti
(29 * 84 + 43) % 10,9,10,addAndMulti
(79 + 77 + 47) % 10,3,10,addition
(90 + 27 * 53) % 10,1,10,addAndMulti
(97 * 4 + 35) % 10,3,10,addAndMulti
(75 * 68 + 35) % 10,5,10,addAndMulti
(0 + 9 * 93) % 10,7,10,addAndMulti
(61 + 26 + 28) % 10,5,10,addition
(13 + 52 + 88) % 10,3,10,addition
(21 * 0 + 21) % 10,1,10,addAndMulti
(69 + 85 + 98) % 10,2,10,addition
(63 * 56 * 50) % 10,0,10,multiplication
(24 * 78 + 34) % 10,6,10,addAndMulti
(51 + 63 + 28) % 10,2,10,addition
(93 * 34 * 33) % 10,6,10,multiplication
(96 + 61 * 58) % 10,4,10,addAndMulti
(55 + 83 + 72) % 10,0,10,addition
(96 + 45 + 31) % 10,2,10,addition
(16 * 25 * 87) % 10,0,10,multiplication
(40 + 43 * 4) % 10,2,10,addAndMulti
(62 + 39 * 61) % 10,1,10,addAndMulti
(31 + 76 * 30) % 10,1,10,addAndMulti
(93 + 72 * 50) % 10,3,10,addAndMulti
(76 * 63 + 14) % 10,2,10,addAndMulti
(40 + 96 * 18) % 10,8,10,addAndMulti
(4 + 4 + 88) % 10,6,10,addition
(11 * 40 * 9) % 10,0,10,multiplication
(88 * 33 * 34) % 10,6,10,multiplication
(8 + 2 + 92) % 10,2,10,addition
(33 + 42 * 71) % 10,5,10,addAndMulti
(43 + 20 * 94) % 10,3,10,addAndMulti
(58 + 70 * 89) % 10,8,10,addAndMulti
(60 * 49 * 47) % 10,0,10,multiplication
(16 + 6 + 94) % 10,6,10,addition
(97 * 31 * 11) % 10,7,10,multiplication
(29 + 83 + 27) % 10,9,10,addition
(39 * 10 * 70) % 10,0,10,multiplication
(81 * 61 + 61) % 10,2,10,addAndMulti
(40 * 44 * 91) % 10,0,10,multiplication
(19 + 41 + 34) % 10,4,10,addition
(90 + 3 * 24) % 10,2,10,addAndMulti
(84 + 60 + 29) % 10,3,10,addition
(25 * 12 * 27) % 10,0,10,multiplication
(36 + 69 + 74) % 10,9,10,addition
(40 * 16 + 24) % 10,4,10,addAndMulti
(4 + 32 * 87) % 10,8,10,addAndMulti
(86 + 17 + 66) % 10,9,10,addition
(13 + 4 + 54) % 10,1,10,addition
(42 + 4 * 83) % 10,4,10,addAndMulti
(46 + 10 + 7) % 10,3,10,addition
(50 + 65 * 46) % 10,0,10,addAndMulti
(8 * 67 * 6) % 10,6,10,multiplication
(92 * 68 + 70) % 10,6,10,addAndMulti
(59 * 64 * 42) % 10,2,10,multiplication
(33 + 76 + 31) % 10,0,10,addition
(39 + 74 + 20) % 10,3,10,addition
(54 * 78 + 25) % 10,7,10,addAndMulti
(36 * 72 * 87) % 10,4,10,multiplication
(87 * 78 + 49) % 10,5,10,addAndMulti
(1 + 82 * 68) % 10,7,10,addAndMulti
(67 + 39 * 10) % 10,7,10,addAndMulti
(31 * 41 + 78) % 10,9,10,addAndMulti
(49 * 34 * 0) % 10,0,10,multiplication
(80 + 19 * 1) % 10,9,10,addAndMulti
(62 * 17 * 48) % 10,2,10,multiplication
(36 + 38 + 67) % 10,1,10,addition
(29 + 11 * 14) % 10,3,10,addAndMulti
(67 + 58 + 9) % 10,4,10,addition
(34 * 14 + 29) % 10,5,10,addAndMulti
(29 + 93 * 19) % 10,6,10,addAndMulti
(72 * 80 * 73) % 10,0,10,multiplication
(73 + 59 + 6) % 10,8,10,addition
(86 * 72 * 66) % 10,2,10,multiplication
(90 + 95 + 90) % 10,5,10,addition
(33 + 95 * 0) % 10,3,10,addAndMulti
(93 * 14 * 46) % 10,2,10,multiplication
(18 + 64 * 28) % 10,0,10,addAndMulti
(22 * 26 + 47) % 10,9,10,addAndMulti
(37 * 62 + 4) % 10,8,10,addAndMulti
(75 + 80 * 25) % 10,5,10,addAndMulti
(83 + 41 * 19) % 10,2,10,addAndMulti
(74 * 33 * 49) % 10,8,10,multiplication
(90 * 78 * 95) % 10,0,10,multiplication
(18 * 57 + 93) % 10,9,10,addAndMulti
(62 + 65 * 37) % 10,7,10,addAndMulti
(73 + 10 * 9) % 10,3,10,addAndMulti
(93 + 9 * 88) % 10,5,10,addAndMulti
(43 * 62 * 87) % 10,2,10,multiplication
(88 * 72 * 90) % 10,0,10,multiplication
(37 + 80 + 14) % 10,1,10,addition
(85 + 24 + 29) % 10,8,10,addition
(66 + 35 * 30) % 10,6,10,addAndMulti
(59 + 17 + 33) % 10,9,10,addition
(16 + 62 + 66) % 10,4,10,addition
(75 + 50 * 49) % 10,5,10,addAndMulti
(50 * 42 + 2) % 10,2,10,addAndMulti
(79 + 65 * 0) % 10,9,10,addAndMulti
(7 * 60 + 6) % 10,6,10,addAndMulti
(24 * 23 * 97) % 10,4,10,multiplication
(55 * 18 * 99) % 10,0,10,multiplication
(46 * 71 + 5) % 10,1,10,addAndMulti
(2 + 73 + 93) % 10,8,10,addition
(68 * 14 + 67) % 10,9,10,addAndMulti
(10 * 33 + 58) % 10,8,10,addAndMulti
(46 + 42 + 31) % 10,9,10,addition
(11 + 18 + 97) % 10,6,10,addition
(95 * 13 * 39) % 10,5,10,multiplication
(72 + 79 * 40) % 10,2,10,addAndMulti
(41 * 46 * 13) % 10,8,10,multiplication
(93 + 72 * 92) % 10,7,10,addAndMulti
(14 + 35 + 52) % 10,1,10,addition
(52 + 15 + 91) % 10,8,10,addition
(97 * 23 * 23) % 10,3,10,multiplication
(33 + 72 * 92) % 10,7,10,addAndMulti
(94 * 41 * 7) % 10,8,10,multiplication
(29 + 64 + 34) % 10,7,10,addition
(43 * 78 * 16) % 10,4,10,multiplication
(83 + 72 + 12) % 10,7,10,addition
(96 + 31 * 42) % 10,8,10,addAndMulti
(82 + 37 + 70) % 10,9,10,addition
(51 + 81 * 88) % 10,9,10,addAndMulti
(97 + 37 + 60) % 10,4,10,addition
(86 * 47 * 13) % 10,6,10,multiplication
(92 + 64 * 92) % 10,0,10,addAndMulti
(21 + 9 * 98) % 10,3,10,addAndMulti
(70 + 62 + 65) % 10,7,10,addition
(65 + 2 * 70) % 10,5,10,addAndMulti
(49 * 95 + 75) % 10,0,10,addAndMulti
(67 * 26 + 28) % 10,0,10,addAndMulti
(69 + 57 + 98) % 10,4,10,addition
(38 + 88 * 73) % 10,2,10,addAndMulti
(59 * 13 + 11) % 10,8,10,addAndMulti
(30 * 34 + 43) % 10,3,10,addAndMulti
(67 + 24 * 81) % 10,1,10,addAndMulti
(52 * 44 + 58) % 10,6,10,addAndMulti
(86 + 88 * 33) % 10,0,10,addAndMulti
(0 * 93 * 99) % 10,0,10,multiplication
(76 + 92 * 10) % 10,6,10,addAndMulti
(83 * 43 + 84) % 10,3,10,addAndMulti
(75 + 53 + 75) % 10,3,10,addition
(70 + 52 * 94) % 10,8,10,addAndMulti
(53 + 75 * 11) % 10,8,10,addAndMulti
(15 * 86 + 75) % 10,5,10,addAndMulti
(66 + 86 * 50) % 10,6,10,addAndMulti
(35 + 32 * 21) % 10,7,10,addAndMulti
(37 + 84 * 23) % 10,9,10,addAndMulti
(21 + 23 * 23) % 10,0,10,addAndMulti
(11 * 92 * 79) % 10,8,10,multiplication
(70 * 71 * 14) % 10,0,10,multiplication
(78 + 87 + 98) % 10,3,10,addition
(1 * 30 * 59) % 10,0,10,multiplication
(44 + 78 * 99) % 10,6,10,addAndMulti
(11 + 60 + 72) % 10,3,10,addition
(71 * 78 + 12) % 10,0,10,addAndMulti
(37 + 65 * 16) % 10,7,10,addAndMulti
(3 * 9 + 4) % 10,1,10,addAndMulti
(34 + 72 * 45) % 10,4,10,addAndMulti
(44 * 39 + 23) % 10,9,10,addAndMulti
(44 + 24 * 67) % 10,2,10,addAndMulti
(4 + 82 + 2) % 10,8,10,addition
(39 + 24 + 25) % 10,8,10,addition
(58 * 41 * 18) % 10,4,10,multiplication
(49 + 48 * 63) % 10,3,10,addAndMulti
(41 + 44 * 34) % 10,7,10,addAndMulti
(78 + 44 * 26) % 10,2,10,addAndMulti
(99 + 87 * 58) % 10,5,10,addAndMulti
(81 * 39 + 26) % 10,5,10,addAndMulti
(8 * 70 * 80) % 10,0,10,multiplication
(52 + 5 * 85) % 10,7,10,addAndMulti
(59 + 95 + 31) % 10,5,10,addition
(12 + 12 + 5) % 10,9,10,addition
(59 + 92 + 85) % 10,6,10,addition
(90 + 43 * 96) % 10,8,10,addAndMulti
(58 + 20 * 38) % 10,8,10,addAndMulti
(79 + 17 * 29) % 10,2,10,addAndMulti
(50 + 81 * 72) % 10,2,10,addAndMulti
(6 * 73 * 15) % 10,0,10,multiplication
(54 + 96 * 75) % 10,4,10,addAndMulti
(63 + 43 + 86) % 10,2,10,addition
(35 + 88 + 26) % 10,9,10,addition
(9 * 64 * 15) % 10,0,10,multiplication
(12 * 71 * 97) % 10,4,10,multiplication
(11 + 87 + 92) % 10,0,10,addition
(52 + 82 + 96) % 10,0,10,addition
(98 + 99 + 77) % 10,4,10,addition
(6 * 68 * 75) % 10,0,10,multiplication
(71 * 15 + 12) % 10,7,10,addAndMulti
(8 + 91 + 83) % 10,2,10,addition
(6 * 44 * 18) % 10,2,10,multiplication
(3 * 46 * 93) % 10,4,10,multiplication
(90 * 34 + 24) % 10,4,10,addAndMulti
(93 + 13 + 98) % 10,4,10,addition
(63 * 44 * 28) % 10,6,10,multiplication
(73 * 88 * 29) % 10,6,10,multiplication
(85 + 18 + 81) % 10,4,10,addition
(21 + 84 * 34) % 10,7,10,addAndMulti
(22 * 69 * 49) % 10,2,10,multiplication
(72 * 86 * 49) % 10,8,10,multiplication
(45 + 2 * 27) % 10,9,10,addAndMulti
(47 + 85 * 72) % 10,7,10,addAndMulti
(97 + 27 + 63) % 10,7,10,addition
(91 * 43 * 12) % 10,6,10,multiplication
(16 * 44 + 74) % 10,8,10,addAndMulti
(95 * 7 + 74) % 10,9,10,addAndMulti
(27 * 65 * 13) % 10,5,10,multiplication
(62 * 26 + 55) % 10,7,10,addAndMulti
(4 * 41 + 96) % 10,0,10,addAndMulti
(47 * 62 * 79) % 10,6,10,multiplication
(43 + 14 + 66) % 10,3,10,addition
(31 * 30 * 91) % 10,0,10,multiplication
(6 + 24 + 27) % 10,7,10,addition
(56 * 43 + 28) % 10,6,10,addAndMulti
(30 + 59 * 78) % 10,2,10,addAndMulti
(41 + 42 * 53) % 10,7,10,addAndMulti
(95 * 33 + 54) % 10,9,10,addAndMulti
(25 + 22 * 19) % 10,3,10,addAndMulti
(51 + 72 + 45) % 10,8,10,addition
(92 * 80 * 31) % 10,0,10,multiplication
(35 * 3 + 67) % 10,2,10,addAndMulti
(26 * 89 * 25) % 10,0,10,multiplication
(43 * 66 + 87) % 10,5,10,addAndMulti
(99 * 27 * 82) % 10,6,10,multiplication
(1 + 76 * 66) % 10,7,10,addAndMulti
(69 * 55 * 60) % 10,0,10,multiplication
(43 + 46 * 63) % 10,1,10,addAndMulti
(75 + 48 + 52) % 10,5,10,addition
(73 * 6 + 90) % 10,8,10,addAndMulti
(91 * 57 + 92) % 10,9,10,addAndMulti
(81 * 91 * 88) % 10,8,10,multiplication
(78 + 91 * 50) % 10,8,10,addAndMulti
(90 + 61 * 65) % 10,5,10,addAndMulti
(16 + 74 + 21) % 10,1,10,addition
(41 + 43 * 67) % 10,2,10,addAndMulti
(10 * 45 * 27) % 10,0,10,multiplication
(66 + 33 + 86) % 10,5,10,addition
(87 + 70 * 77) % 10,7,10,addAndMulti
(5 * 84 * 77) % 10,0,10,multiplication
(59 + 91 * 37) % 10,6,10,addAndMulti
(67 + 58 * 52) % 10,3,10,addAndMulti
(52 * 53 * 93) % 10,8,10,multiplication
(72 * 71 + 29) % 10,1,10,addAndMulti
(45 * 10 + 66) % 10,6,10,addAndMulti
(37 + 17 * 48) % 10,3,10,addAndMulti
(47 * 46 + 67) % 10,9,10,addAndMulti
(3 + 62 + 13) % 10,8,10,addition
(17 + 55 + 77) % 10,9,10,addition
(17 * 10 + 80) % 10,0,10,addAndMulti
(77 * 49 * 99) % 10,7,10,multiplication
(31 * 26 * 76) % 10,6,10,multiplication
(18 + 56 * 81) % 10,4,10,addAndMulti
(6 + 7 * 95) % 10,1,10,addAndMulti
(83 * 23 + 99) % 10,8,10,addAndMulti
(18 * 16 * 53) % 10,4,10,multiplication
(17 + 12 * 58) % 10,3,10,addAndMulti
(87 * 80 * 47) % 10,0,10,multiplication
(67 * 69 * 6) % 10,8,10,multiplication
(44 + 80 * 42) % 10,4,10,addAndMulti
(22 + 62 * 31) % 10,4,10,addAndMulti
(15 * 32 * 97) % 10,0,10,multiplication
(76 + 86 * 29) % 10,0,10,addAndMulti
(3 + 38 * 90) % 10,3,10,addAndMulti
(61 * 11 + 46) % 10,7,10,addAndMulti
(14 * 23 * 28) % 10,6,10,multiplication
(51 + 32 + 0) % 10,3,10,addition
(90 * 2 * 90) % 10,0,10,multiplication
(54 * 43 * 75) % 10,0,10,multiplication
(52 * 69 + 24) % 10,2,10,addAndMulti
(22 * 79 * 80) % 10,0,10,multiplication
(12 + 56 + 65) % 10,3,10,addition
(99 + 2 + 23) % 10,4,10,addition
(43 + 27 * 44) % 10,1,10,addAndMulti
(19 * 2 * 78) % 10,4,10,multiplication
(90 * 87 * 77) % 10,0,10,multiplication
(20 + 98 * 13) % 10,4,10,addAndMulti
(35 * 27 * 27) % 10,5,10,multiplication
(53 + 57 * 31) % 10,0,10,addAndMulti
(64 + 21 + 6) % 10,1,10,addition
(27 * 57 + 96) % 10,5,10,addAndMulti
(16 + 30 * 80) % 10,6,10,addAndMulti
(6 + 8 * 39) % 10,8,10,addAndMulti
(67 * 79 + 0) % 10,3,10,addAndMulti
(18 * 35 + 23) % 10,3,10,addAndMulti
(82 + 72 + 60) % 10,4,10,addition
(63 * 29 * 0) % 10,0,10,multiplication
(7 + 85 * 51) % 10,2,10,addAndMulti
